episode,total_reward,steps_survived,success_flag,epsilon
182,-45,252,0,0.9932078805029565
183,-3,161,0,0.993170688888037
184,-13,161,0,0.9931334986657928
185,-3,161,0,0.993096309836172
186,-3,161,0,0.9930591223991223
187,2,161,0,0.9930219363545916
188,2,161,0,0.9929847517025278
189,12,161,0,0.9929475684428787
190,-28,161,0,0.9929103865755922
191,-88,161,0,0.992873206100616
192,-8,161,0,0.9928360270178982
193,-10,300,0,0.9927988493273865
194,7,161,0,0.9927616730290288
195,-3,161,0,0.9927244981227731
196,7,161,0,0.9926873246085671
197,-63,161,0,0.9926501524863588
198,-8,161,0,0.9926129817560959
199,-93,161,0,0.9925758124177265
200,20,300,0,0.9925386444711983
201,55,300,0,0.9925014779164593
202,22,161,0,0.9924643127534573
203,-8,161,0,0.9924271489821402
204,25,254,0,0.992389986602456
205,-24,258,0,0.9923528256143525
206,2,161,0,0.9923156660177774
207,-66,245,0,0.9922785078126789
208,-35,300,0,0.9922413509990048
209,-13,161,0,0.9922041955767029
210,-28,161,0,0.9921670415457212
211,-33,161,0,0.9921298889060076
212,-8,161,0,0.99209273765751
213,65,300,0,0.9920555878001763
214,-33,161,0,0.9920184393339544
215,-68,161,0,0.9919812922587922
216,-38,161,0,0.9919441465746375
217,-3,161,0,0.9919070022814384
218,-28,161,0,0.9918698593791426
219,-83,161,0,0.9918327178676982
220,-30,300,0,0.9917955777470531
221,-148,264,0,0.9917584390171552
222,-23,161,0,0.9917213016779524
223,17,161,0,0.9916841657293926
224,-38,161,0,0.9916470311714237
225,-65,253,0,0.9916098980039938
226,2,161,0,0.9915727662270507
227,7,161,0,0.9915356358405424
228,-5,300,0,0.9914985068444168
229,-38,261,0,0.9914613792386217
230,-23,161,0,0.9914242530231051
231,7,161,0,0.991387128197815
232,-3,161,0,0.9913500047626995
233,-58,161,0,0.9913128827177063
234,25,300,0,0.9912757620627834
235,2,161,0,0.9912386427978789
236,-50,252,0,0.9912015249229406
237,-25,300,0,0.9911644084379163
238,-31,173,0,0.9911272933427543
239,-63,161,0,0.9910901796374023
240,-68,161,0,0.9910530673218084
241,-73,161,0,0.9910159563959204
242,-28,161,0,0.9909788468596864
243,-13,161,0,0.9909417387130544
244,12,161,0,0.9909046319559722
245,22,161,0,0.990867526588388
246,-8,161,0,0.9908304226102495
247,5,300,0,0.9907933200215048
248,17,161,0,0.9907562188221019
249,-58,161,0,0.9907191190119887
250,-20,251,0,0.9906820205911132
251,7,161,0,0.9906449235594235
252,-5,175,0,0.9906078279168674
253,-33,161,0,0.990570733663393
254,-8,161,0,0.9905336407989482
255,-8,161,0,0.9904965493234811
256,-3,161,0,0.9904594592369396
257,-23,161,0,0.9904223705392716
258,2,161,0,0.9903852832304253
259,-71,298,0,0.9903481973103486
260,-8,161,0,0.9903111127789895
261,12,161,0,0.990274029636296
262,-8,161,0,0.9902369478822161
263,-8,161,0,0.9901998675166978
264,1,255,0,0.990162788539689
265,-45,175,0,0.9901257109511379
266,55,300,0,0.9900886347509924
267,-40,300,0,0.9900515599392005
268,-18,161,0,0.9900144865157102
269,7,161,0,0.9899774144804696
270,-23,189,0,0.9899403438334267
271,-18,161,0,0.9899032745745294
272,-34,255,0,0.9898662067037258
273,2,161,0,0.989829140220964
274,-58,161,0,0.9897920751261919
275,12,161,0,0.9897550114193576
276,12,161,0,0.9897179491004091
277,-90,300,0,0.9896808881692944
278,17,161,0,0.9896438286259616
279,7,161,0,0.9896067704703586
280,14,224,0,0.9895697137024336
281,-5,251,0,0.9895326583221346
282,7,161,0,0.9894956043294095
283,-3,161,0,0.9894585517242065
284,12,161,0,0.9894215005064736
285,17,161,0,0.9893844506761588
286,2,161,0,0.9893474022332102
287,2,161,0,0.9893103551775758
288,-23,161,0,0.9892733095092037
289,-53,161,0,0.9892362652280419
290,-38,161,0,0.9891992223340385
291,2,161,0,0.9891621808271415
292,-28,161,0,0.9891251407072991
293,7,161,0,0.9890881019744592
294,-48,161,0,0.98905106462857
295,-33,161,0,0.9890140286695793
296,-8,161,0,0.9889769940974354
297,12,161,0,0.9889399609120865
298,-13,161,0,0.9889029291134803
299,7,161,0,0.9888658987015652
300,-8,161,0,0.988828869676289
301,-90,251,0,0.9887918420376001
302,-8,161,0,0.9887548157854462
303,2,161,0,0.9887177909197756
304,7,161,0,0.9886807674405365
305,12,161,0,0.9886437453476767
306,-8,161,0,0.9886067246411445
307,-18,161,0,0.988569705320888
308,-33,161,0,0.9885326873868551
309,-33,161,0,0.9884956708389939
310,-33,161,0,0.9884586556772527
311,7,161,0,0.9884216419015794
312,-23,161,0,0.9883846295119223
313,-13,161,0,0.9883476185082293
314,2,161,0,0.9883106088904485
315,17,161,0,0.9882736006585282
316,-18,161,0,0.9882365938124164
317,30,252,0,0.9881995883520611
318,-8,161,0,0.9881625842774105
319,-13,161,0,0.9881255815884128
320,17,161,0,0.988088580285016
321,-3,161,0,0.9880515803671682
322,10,300,0,0.9880145818348176
323,-38,236,0,0.9879775846879123
324,-53,161,0,0.9879405889264004
325,18,290,0,0.9879035945502299
326,2,161,0,0.9878666015593491
327,-5,300,0,0.9878296099537062
328,17,161,0,0.987792619733249
329,-29,280,0,0.987755630897926
330,-8,161,0,0.987718643447685
331,-68,161,0,0.9876816573824744
332,45,300,0,0.9876446727022422
333,7,161,0,0.9876076894069367
334,-38,161,0,0.9875707074965058
335,-18,161,0,0.9875337269708977
336,1,256,0,0.9874967478300607
337,-13,161,0,0.9874597700739428
338,-28,161,0,0.9874227937024922
339,7,161,0,0.987385818715657
340,-108,161,0,0.9873488451133855
341,2,161,0,0.9873118728956257
342,19,174,0,0.9872749020623258
343,-17,192,0,0.987237932613434
344,-9,180,0,0.9872009645488983
345,-33,161,0,0.987163997868667
346,2,161,0,0.9871270325726883
347,-75,300,0,0.9870900686609103
348,-3,185,0,0.9870531061332812
349,-43,161,0,0.9870161449897492
350,-25,254,0,0.9869791852302624
351,25,300,0,0.986942226854769
352,-3,161,0,0.986905269863217
353,2,161,0,0.9868683142555549
354,-38,161,0,0.9868313600317307
355,-18,161,0,0.9867944071916925
356,-73,161,0,0.9867574557353886
357,40,300,0,0.9867205056627673
358,22,161,0,0.9866835569737765
359,17,161,0,0.9866466096683647
360,-71,298,0,0.9866096637464798
361,-3,161,0,0.9865727192080702
362,-8,189,0,0.9865357760530841
363,12,161,0,0.9864988342814696
364,-18,161,0,0.9864618938931748
365,2,161,0,0.9864249548881481
366,-79,234,0,0.9863880172663376
367,-18,161,0,0.9863510810276915
368,60,300,0,0.9863141461721581
369,2,161,0,0.9862772126996855
370,-8,161,0,0.986240280610222
371,-33,161,0,0.9862033499037156
372,-28,161,0,0.9861664205801148
373,12,161,0,0.9861294926393677
374,7,161,0,0.9860925660814225
375,-70,251,0,0.9860556409062274
376,-38,161,0,0.9860187171137307
377,-3,235,0,0.9859817947038805
378,2,161,0,0.9859448736766251
379,-28,161,0,0.9859079540319128
380,19,196,0,0.9858710357696917
381,-8,161,0,0.9858341188899101
382,-8,161,0,0.9857972033925162
383,30,300,0,0.9857602892774583
384,-38,161,0,0.9857233765446846
385,12,161,0,0.9856864651941433
386,-83,161,0,0.9856495552257826
387,-38,161,0,0.9856126466395508
388,-40,300,0,0.9855757394353962
389,-8,161,0,0.9855388336132671
390,-3,161,0,0.9855019291731116
391,-83,161,0,0.9854650261148781
392,9,173,0,0.9854281244385146
393,-18,161,0,0.9853912241439695
394,40,300,0,0.9853543252311912
395,12,161,0,0.9853174277001278
396,-38,161,0,0.9852805315507275
397,-3,161,0,0.9852436367829387
398,12,161,0,0.9852067433967097
399,-58,188,0,0.9851698513919885
400,-65,300,0,0.9851329607687237
401,17,161,0,0.9850960715268634
402,-3,161,0,0.9850591836663558
403,-63,161,0,0.9850222971871493
404,-53,161,0,0.9849854120891921
405,-18,161,0,0.9849485283724326
406,-33,161,0,0.984911646036819
407,2,161,0,0.9848747650822995
408,-10,300,0,0.9848378855088226
409,22,161,0,0.9848010073163364
410,-93,161,0,0.9847641305047892
411,12,161,0,0.9847272550741293
412,-13,161,0,0.9846903810243051
413,-33,161,0,0.9846535083552648
414,-3,161,0,0.9846166370669567
415,-23,161,0,0.984579767159329
416,-13,161,0,0.9845428986323302
417,-28,161,0,0.9845060314859085
418,-43,161,0,0.9844691657200122
419,9,173,0,0.9844323013345896
420,17,161,0,0.984395438329589
421,-13,161,0,0.9843585767049587
422,-43,161,0,0.9843217164606471
423,-43,161,0,0.9842848575966024
424,7,161,0,0.984248000112773
425,12,161,0,0.9842111440091073
426,2,161,0,0.9841742892855533
427,-13,161,0,0.9841374359420596
428,35,300,0,0.9841005839785745
429,2,161,0,0.9840637333950462
430,-18,161,0,0.984026884191423
431,18,216,0,0.9839900363676535
432,-68,161,0,0.9839531899236857
433,2,161,0,0.9839163448594682
434,-38,161,0,0.9838795011749492
435,-1,171,0,0.9838426588700769
436,22,161,0,0.9838058179447999
437,2,161,0,0.9837689783990665
438,-8,161,0,0.983732140232825
439,-38,161,0,0.9836953034460236
440,43,290,0,0.9836584680386108
441,15,253,0,0.9836216340105349
442,-58,161,0,0.9835848013617443
443,-4,180,0,0.9835479700921873
444,-33,161,0,0.9835111402018123
445,12,161,0,0.9834743116905675
446,35,300,0,0.9834374845584015
447,7,161,0,0.9834006588052625
448,-3,161,0,0.9833638344310989
449,-3,161,0,0.983327011435859
450,-18,161,0,0.9832901898194912
451,-3,161,0,0.983253369581944
452,-23,161,0,0.9832165507231656
453,-28,161,0,0.9831797332431045
454,15,300,0,0.9831429171417089
455,-13,161,0,0.9831061024189273
456,0,300,0,0.983069289074708
457,-3,161,0,0.9830324771089995
458,-3,161,0,0.9829956665217502
459,-13,235,0,0.9829588573129083
460,-24,184,0,0.9829220494824223
461,2,161,0,0.9828852430302406
462,-32,265,0,0.9828484379563115
463,-58,161,0,0.9828116342605834
464,2,161,0,0.9827748319430047
465,-1,172,0,0.982738031003524
466,-10,300,0,0.9827012314420894
467,8,218,0,0.9826644332586495
468,-23,161,0,0.9826276364531525
469,22,161,0,0.9825908410255471
470,-8,161,0,0.9825540469757814
471,-43,161,0,0.982517254303804
472,2,161,0,0.9824804630095632
473,2,161,0,0.9824436730930074
474,-36,299,0,0.9824068845540851
475,-21,223,0,0.9823700973927446
476,-18,161,0,0.9823333116089344
477,12,161,0,0.982296527202603
478,-33,161,0,0.9822597441736987
479,0,300,0,0.9822229625221699
480,2,161,0,0.9821861822479651
481,-28,161,0,0.9821494033510326
482,-33,161,0,0.9821126258313211
483,-8,161,0,0.9820758496887787
484,7,161,0,0.9820390749233541
485,8,240,0,0.9820023015349956
486,-23,161,0,0.9819655295236516
487,55,300,0,0.9819287588892706
488,-45,300,0,0.981891989631801
489,-38,161,0,0.9818552217511913
490,12,161,0,0.9818184552473899
491,-33,161,0,0.9817816901203452
492,-3,161,0,0.9817449263700058
493,-18,161,0,0.9817081639963199
494,-33,161,0,0.9816714029992362
495,17,161,0,0.981634643378703
496,-8,161,0,0.9815978851346688
497,2,161,0,0.9815611282670821
498,7,161,0,0.9815243727758912
499,3,243,0,0.9814876186610447
500,-48,161,0,0.9814508659224911
501,2,161,0,0.9814141145601788
502,-3,161,0,0.9813773645740562
503,12,161,0,0.9813406159640718
504,-63,161,0,0.9813038687301742
505,-31,273,0,0.9812671228723117
506,-33,161,0,0.9812303783904328
507,-78,161,0,0.9811936352844861
508,12,211,0,0.9811568935544199
509,-10,279,0,0.9811201532001829
510,-83,161,0,0.9810834142217233
511,-99,259,0,0.9810466766189898
512,-38,161,0,0.9810099403919308
513,-53,161,0,0.9809732055404948
514,2,161,0,0.9809364720646304
515,-53,161,0,0.9808997399642859
516,-20,300,0,0.9808630092394099
517,-33,161,0,0.9808262798899509
518,-28,161,0,0.9807895519158573
519,12,161,0,0.9807528253170776
520,-13,161,0,0.9807161000935605
521,32,286,0,0.9806793762452544
522,-8,161,0,0.9806426537721077
523,-39,184,0,0.9806059326740689
524,12,161,0,0.9805692129510867
525,7,161,0,0.9805324946031094
526,-43,161,0,0.9804957776300857
527,-58,161,0,0.980459062031964
528,-33,161,0,0.9804223478086929
529,-57,219,0,0.9803856349602208
530,-8,161,0,0.9803489234864963
531,-13,161,0,0.9803122133874678
532,-8,161,0,0.9802755046630839
533,-98,161,0,0.9802387973132932
534,-28,161,0,0.9802020913380441
535,2,161,0,0.9801653867372854
536,-63,161,0,0.9801286835109653
537,17,161,0,0.9800919816590324
538,-33,161,0,0.9800552811814354
539,-35,300,0,0.9800185820781226
540,25,300,0,0.9799818843490428
541,-18,161,0,0.9799451879941443
542,-3,161,0,0.9799084930133759
543,-3,161,0,0.9798717994066859
544,-38,161,0,0.979835107174023
545,-68,161,0,0.9797984163153357
546,-58,161,0,0.9797617268305725
547,-8,161,0,0.979725038719682
548,12,161,0,0.9796883519826127
549,-18,161,0,0.9796516666193134
550,-13,161,0,0.9796149826297323
551,-43,161,0,0.9795783000138182
552,-3,161,0,0.9795416187715196
553,22,161,0,0.979504938902785
554,12,161,0,0.9794682604075631
555,-38,161,0,0.9794315832858023
556,-18,161,0,0.9793949075374512
557,-83,161,0,0.9793582331624584
558,-18,161,0,0.9793215601607725
559,2,161,0,0.9792848885323422
560,-53,161,0,0.9792482182771158
561,12,161,0,0.9792115493950422
562,-63,161,0,0.9791748818860697
563,2,161,0,0.979138215750147
564,-78,161,0,0.9791015509872227
565,25,300,0,0.9790648875972454
566,7,161,0,0.9790282255801637
567,50,300,0,0.978991564935926
568,-33,161,0,0.9789549056644811
569,-18,239,0,0.9789182477657775
570,-43,161,0,0.9788815912397638
571,17,261,0,0.9788449360863887
572,-85,300,0,0.9788082823056007
573,-13,161,0,0.9787716298973484
574,-5,300,0,0.9787349788615805
575,-3,161,0,0.9786983291982454
576,-33,161,0,0.9786616809072919
577,-3,161,0,0.9786250339886686
578,55,300,0,0.9785883884423241
579,-38,161,0,0.9785517442682069
580,-33,161,0,0.9785151014662657
581,-13,161,0,0.9784784600364492
582,-3,161,0,0.9784418199787059
583,-45,251,0,0.9784051812929845
584,-28,211,0,0.9783685439792335
585,-3,161,0,0.9783319080374016
586,7,161,0,0.9782952734674374
587,50,300,0,0.9782586402692895
588,-12,218,0,0.9782220084429067
589,-78,161,0,0.9781853779882376
590,-8,161,0,0.9781487489052306
591,-8,161,0,0.9781121211938346
592,-58,161,0,0.9780754948539981
593,0,229,0,0.9780388698856698
594,4,172,0,0.9780022462887983
595,-26,171,0,0.9779656240633322
596,12,161,0,0.9779290032092203
597,-65,300,0,0.9778923837264111
598,-28,161,0,0.9778557656148533
599,-18,161,0,0.9778191488744956
600,-13,161,0,0.9777825335052867
601,-3,161,0,0.977745919507175
602,-48,161,0,0.9777093068801095
603,-3,161,0,0.9776726956240386
604,-35,229,0,0.977636085738911
605,-28,161,0,0.9775994772246754
606,65,300,0,0.9775628700812806
607,-33,161,0,0.9775262643086751
608,-21,299,0,0.9774896599068076
609,-23,161,0,0.9774530568756268
610,-3,161,0,0.9774164552150814
611,-83,161,0,0.9773798549251199
612,-28,161,0,0.9773432560056912
613,-28,161,0,0.9773066584567438
614,2,161,0,0.9772700622782265
615,-50,300,0,0.9772334674700881
616,-28,161,0,0.9771968740322771
617,2,161,0,0.9771602819647421
618,30,300,0,0.977123691267432
619,-22,265,0,0.9770871019402955
620,12,161,0,0.977050513983281
621,17,161,0,0.9770139273963375
622,-48,161,0,0.9769773421794136
623,-58,161,0,0.976940758332458
624,-18,161,0,0.9769041758554193
625,-23,161,0,0.9768675947482464
626,-28,161,0,0.9768310150108878
627,-58,161,0,0.9767944366432922
628,-37,217,0,0.9767578596454086
629,-28,161,0,0.9767212840171855
630,2,161,0,0.9766847097585716
631,2,161,0,0.9766481368695156
632,-13,161,0,0.9766115653499663
633,12,161,0,0.9765749951998723
634,17,161,0,0.9765384264191825
635,-41,171,0,0.9765018590078455
636,-58,161,0,0.97646529296581
637,-23,161,0,0.9764287282930247
638,-8,161,0,0.9763921649894385
639,-8,161,0,0.976355603055
640,7,161,0,0.976319042489658
641,-3,161,0,0.9762824832933611
642,-84,259,0,0.9762459254660582
643,-8,161,0,0.9762093690076978
644,-48,161,0,0.976172813918229
645,-28,161,0,0.9761362601976002
646,22,161,0,0.9760997078457604
647,0,277,0,0.9760631568626581
648,7,161,0,0.9760266072482422
649,-49,181,0,0.9759900590024614
650,-53,161,0,0.9759535121252645
651,-33,161,0,0.9759169666166002
652,-80,300,0,0.9758804224764173
653,7,161,0,0.9758438797046645
654,-18,161,0,0.9758073383012906
655,1,233,0,0.9757707982662444
656,-10,228,0,0.9757342595994746
657,2,161,0,0.9756977223009299
658,-7,293,0,0.9756611863705592
659,-13,161,0,0.9756246518083113
660,-3,161,0,0.9755881186141347
661,-8,161,0,0.9755515867879785
662,2,161,0,0.9755150563297912
663,33,241,0,0.9754785272395218
664,-8,161,0,0.9754419995171189
665,-28,161,0,0.9754054731625313
666,-3,161,0,0.975368948175708
667,2,161,0,0.9753324245565975
668,-48,161,0,0.9752959023051487
669,17,161,0,0.9752593814213104
670,7,161,0,0.9752228619050314
671,-13,161,0,0.9751863437562605
672,-18,161,0,0.9751498269749463
673,-38,161,0,0.9751133115610379
674,-98,161,0,0.9750767975144838
675,-21,299,0,0.9750402848352331
676,-3,161,0,0.9750037735232343
677,17,161,0,0.9749672635784364
678,-28,161,0,0.9749307550007882
679,2,161,0,0.9748942477902384
680,-53,161,0,0.9748577419467359
681,-28,161,0,0.9748212374702295
682,-48,212,0,0.974784734360668
683,-28,161,0,0.9747482326180001
684,12,161,0,0.9747117322421748
685,-13,161,0,0.9746752332331408
686,25,300,0,0.9746387355908469
687,-8,161,0,0.974602239315242
688,-8,161,0,0.974565744406275
689,17,161,0,0.9745292508638945
690,14,296,0,0.9744927586880495
691,-26,224,0,0.9744562678786888
692,12,161,0,0.9744197784357611
693,-5,203,0,0.9743832903592154
694,-28,161,0,0.9743468036490005
695,-63,161,0,0.9743103183050652
696,3,217,0,0.9742738343273584
697,39,299,0,0.9742373517158288
698,7,161,0,0.9742008704704254
699,-5,300,0,0.9741643905910969
700,-79,182,0,0.9741279120777923
701,-13,161,0,0.9740914349304602
702,-83,161,0,0.9740549591490498
703,-18,161,0,0.9740184847335097
704,-53,161,0,0.9739820116837888
705,7,161,0,0.973945539999836
706,2,161,0,0.9739090696816002
707,7,161,0,0.9738726007290301
708,-13,161,0,0.9738361331420747
709,17,161,0,0.9737996669206829
710,-48,161,0,0.9737632020648034
711,22,161,0,0.9737267385743852
712,2,161,0,0.9736902764493771
713,-43,161,0,0.973653815689728
714,-8,161,0,0.9736173562953867
715,55,300,0,0.9735808982663022
716,-13,161,0,0.9735444416024234
717,7,161,0,0.973507986303699
718,22,161,0,0.973471532370078
719,-58,161,0,0.9734350798015092
720,-8,161,0,0.9733986285979417
721,45,300,0,0.9733621787593241
722,25,300,0,0.9733257302856054
723,-23,161,0,0.9732892831767346
724,24,298,0,0.9732528374326604
725,-84,280,0,0.9732163930533319
726,-3,161,0,0.9731799500386978
727,17,161,0,0.9731435083887072
728,40,300,0,0.9731070681033088
729,40,252,0,0.9730706291824517
730,-6,197,0,0.9730341916260846
731,7,161,0,0.9729977554341566
732,7,161,0,0.9729613206066163
733,45,300,0,0.972924887143413
734,-63,161,0,0.9728884550444953
735,-38,161,0,0.9728520243098122
736,-8,161,0,0.9728155949393128
737,2,161,0,0.9727791669329459
738,-43,161,0,0.9727427402906602
739,-38,161,0,0.9727063150124049
740,-3,161,0,0.9726698910981288
741,7,161,0,0.972633468547781
742,4,171,0,0.9725970473613101
743,10,300,0,0.9725606275386653
744,-83,161,0,0.9725242090797954
745,22,161,0,0.9724877919846494
746,-13,161,0,0.9724513762531762
747,-60,300,0,0.9724149618853248
748,-2,217,0,0.972378548881044
749,-103,161,0,0.9723421372402828
750,17,161,0,0.9723057269629902
751,-58,161,0,0.9722693180491152
752,-28,161,0,0.9722329104986066
753,12,161,0,0.9721965043114134
754,2,161,0,0.9721600994874845
755,-43,161,0,0.972123696026769
756,-27,215,0,0.9720872939292157
757,2,161,0,0.9720508931947736
758,12,161,0,0.9720144938233917
759,-8,161,0,0.9719780958150188
760,2,161,0,0.971941699169604
761,-68,161,0,0.9719053038870964
762,2,161,0,0.9718689099674447
763,2,161,0,0.971832517410598
764,-3,161,0,0.9717961262165052
765,-23,161,0,0.9717597363851154
766,-18,161,0,0.9717233479163775
767,35,300,0,0.9716869608102404
768,15,300,0,0.9716505750666532
769,17,161,0,0.9716141906855648
770,-38,161,0,0.9715778076669241
771,-45,300,0,0.9715414260106803
772,-18,161,0,0.9715050457167822
773,-18,161,0,0.9714686667851788
774,1,257,0,0.9714322892158193
775,5,300,0,0.9713959130086524
776,2,161,0,0.9713595381636272
777,17,161,0,0.9713231646806928
778,17,161,0,0.9712867925597981
779,-38,161,0,0.971250421800892
780,-3,161,0,0.9712140524039238
781,7,161,0,0.9711776843688422
782,-78,161,0,0.9711413176955963
783,-8,161,0,0.9711049523841351
784,-8,161,0,0.9710685884344076
785,-23,161,0,0.9710322258463628
786,7,161,0,0.9709958646199498
787,-3,161,0,0.9709595047551175
788,-28,161,0,0.970923146251815
789,25,300,0,0.9708867891099913
790,-33,161,0,0.9708504333295953
791,-33,161,0,0.9708140789105763
792,22,161,0,0.970777725852883
793,-83,161,0,0.9707413741564647
794,-33,161,0,0.9707050238212702
